marketing_collateral_id,project_id,project_title,project_location,thumb_full,folders,total_assets
148487,148480,Greenz,"Academic City, DUBAI",https://danubeproperties.com/wp-content/uploads/2026/03/eer.jpg,"['amenities', 'interiors', 'exteriors', 'floor-plans', 'social-media', 'walkthrough', 'brochures', 'videos', 'other']",79
148529,139525,Breez,DUBAI MARITIME CITY,https://danubeproperties.com/wp-content/uploads/2025/09/featured.webp,"['amenities', 'exteriors', 'interiors', 'brochures', 'floor-plans', 'videos']",38
148528,144196,Shahrukhz,Sheikh Zayed Road,https://danubeproperties.com/wp-content/uploads/2025/11/featured_srk.webp,"['amenities', 'exteriors', 'interiors', 'brochures', 'floor-plans', 'videos']",32
148527,146620,Serenz,Jumeirah Village Circle,https://danubeproperties.com/wp-content/uploads/2026/01/featured.webp,"['amenities', 'exteriors', 'interiors', 'brochures', 'social-media', 'floor-plans', 'videos']",52
148526,135464,Aspirz,"Sports City, Dubai",https://danubeproperties.com/wp-content/uploads/2025/06/Aspirz_Exterior_Day-1.webp,"['brochures', 'factsheet', 'floor-plans', 'renders', 'videos']",45
148525,131949,Sparklz,"Al Furjan, DUBAI",https://danubeproperties.com/wp-content/uploads/2025/04/sparklz3z2.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'walkthrough', 'videos']",42
151207,19775,DIAMONDZ,"Jumeirah Lake Towers, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/04/banner-1.jpg,"['brochures', 'floor-plans', 'renders', 'walkthrough', 'videos']",65
148524,130541,Timez,"Dubai Silicon Oasis, DUBAI",https://danubeproperties.com/wp-content/uploads/2025/02/exterior-2.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'social-media', 'floor-plans', 'videos']",34
148523,28342,Bayz 102,"BUSINESS BAY, DUBAI",https://danubeproperties.com/wp-content/uploads/2025/08/bg-image-bayz102.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'floor-plans', 'renders', 'videos']",48
148522,28760,Oasiz,"Dubai Silicon Oasis, DUBAI",https://danubeproperties.com/wp-content/uploads/2025/03/oasiz.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'floor-plans', 'brokers-social-media', 'videos']",40
148521,29654,Oasiz 2,"Dubai Silicon Oasis, DUBAI",https://danubeproperties.com/wp-content/uploads/2025/02/oasiz2.jpg,"['brochures', 'floor-plans', 'renders']",7
148520,14576,BAYZ101,"BUSINESS BAY, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/02/Day_view-1.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'floor-plans', 'videos']",34
150663,18738,BAYZ,"BUSINESS BAY, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/03/Entrance-9.jpg,"['brochures', 'floor-plans', 'walkthrough', 'interiors', 'exteriors', 'amenities', 'videos']",7
148519,14963,OCEANZ,"DUBAI MARITIME CITY, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/02/1920x1080_Oceanz.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'floor-plans', 'videos', 'factsheet', 'other']",29
148518,15407,SPORTZ,"SPORTS CITY, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/02/1920x1080_Sportz.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'floor-plans', 'videos']",29
148517,15933,ELITZ 3,"Jumeirah Village Circle, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/03/Exterior-1.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet', 'floor-plans', 'walkthrough', 'videos']",51
148516,16354,Elitz 2,"Jumeirah Village Circle, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/03/Exterior-8.jpg,"['amenities', 'exteriors', 'interiors', 'brochures', 'factsheet']",53
148515,15405,FASHIONZ,"Jumeirah Village Triangle, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/02/1920x1080_Fashionz.jpg,"['brochures', 'factsheet', 'floor-plans', 'renders', 'videos']",47
148514,16856,Viewz,,https://danubeproperties.com/wp-content/uploads/2024/03/viewz-danube.webp,"['exteriors', 'interiors', 'brochures', 'renders', 'videos']",37
148513,16322,Elitz,"Jumeirah Village Circle, DUBAI",https://danubeproperties.com/wp-content/uploads/2024/03/Exterior-5.jpg,"['amenities', 'brochures', 'floor-plans', 'renders']",30
