project_id,project_name
148480,Greenz
146620,Serenz
144196,Shahrukhz
139525,Breez
135464,Aspirz
131949,Sparklz
130541,Timez
29654,Oasiz 2
28760,Oasiz
28342,Bayz 102
19775,DIAMONDZ
14576,BAYZ101
15407,SPORTZ
15389,ELEGANZ
14963,OCEANZ
15933,ELITZ 3
16354,Elitz 2
15405,FASHIONZ
16856,Viewz
16322,Elitz
16739,Petalz
16683,Opalz
16412,Gemz
16714,Pearlz
16797,Skyz
16653,Olivz
16886,Wavez
16384,Elz
16592,Lawnz
16562,Jewelz
18738,BAYZ
16769,Resortz
16622,Miraclz
16443,Glamz
16826,Starz
16532,Glitz 3
16503,Glitz 2
16473,Glitz 1
15973,Dreamz
